UF,ANO,ABRANGENCIA,DEC,FEC,INT,DEC_VEG,DEC_NID,DEC_DEG,FEC_DEG,FEC_VEG,FEC_NID,INT_VEG,INT_NID,INT_DEG
RS,2024,AL,7.15553572,1.942769825,961,4.424883459,0.3431341217,2.387518139,0.9353128792,0.779097279,0.228359667,393,132,436
RS,2025,AL,1.724608728,0.8628920322,594,0.4122952871,0.2131631726,1.099150268,0.5054454534,0.1689277354,0.1885188434,135,147,312
RS,2025,TF,2.194900051,0.4562263823,16332,0.4215036931,0.5206360589,1.252760299,0.2656298395,0.07001044811,0.1205860946,3006,4937,8389
RS,2024,TF,4.801882601,0.5696288164,20531,2.398462841,0.4357052419,1.967714518,0.2927070089,0.2136881728,0.06323363462,7079,2699,10753
RS,2024,CH,19.492442512,2.785270576,17613,11.221259947,2.226646899,6.044535666,1.091212475,1.260638195,0.4334199053,6743,3059,7811
RS,2025,CH,7.646194288,1.866744578,12612,1.80568291,2.080107054,3.760404323,0.8774039824,0.357500734,0.6318398613,2784,4876,4952
