COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,INT12M,DEC12M,FEC12M
00105664,Instalacao Transformadora com Chave,STR01F5,,Metropolitana,Macapá,SANTA RITA,ABC,3172235,112.5000000000,,,,,,0.00000000,0.00000000,,,0,1,0.000395056279,0.0002758772898
C18540,Instalacao Transformadora (Companhia),APR09P1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,B,3147748,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100193452- X,Estação Transformadora (Particular),MCD01W4,,Metropolitana,Macapá,MACAPA - II,B,3163655,10.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00190257,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3169859,15.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SJ504,Instalacao Transformadora com  Chave,STN01S3,AMAPÁ,,,SANTANA,ABC,3181224,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
01788849,Instalacao Transformadora com Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3170200,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
RS385,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Santana,SANTANA,A,3183008,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00190631,Instalacao Transformadora com  Chave,EQT01Y4,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3157300,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QT422,Instalacao Transformadora com Chave,MCD01C1,,Metropolitana,Macapá,MACAPA - II,ABC,3172726,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
02500131,Instalacao Transformadora com Chave,TTG01Y1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,B,3149699,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100195384- X,Estação Transformadora (Particular),STN01W3,AMAPÁ,Metropolitana,Macapá,SANTANA,ABC,3174552,30.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
SC995,Instalacao Transformadora com Chave,STN01S8,AMAPÁ,Metropolitana,Santana,SANTANA,ABC,3183122,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
3863,Instalacao Transformadora com  Chave,STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,B,3179197,5.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.0003747218443,1.983284875e-05
SH428,Instalacao Transformadora com Chave,MCD01C1,,,,MACAPA - II,ABC,3185164,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
11501424,Instalacao Transformadora (Companhia),STN01S6,AMAPÁ,Metropolitana,Macapá,SANTANA,A,3173204,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
02300160,Instalacao Transformadora com Chave,STN01S6,AMAPÁ,Metropolitana,Santana,SANTANA,A,3168102,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
QT792,Instalacao Transformadora com Chave,EQT01Y2,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3174729,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00188355,Estação Transformadora (Particular),EQT01C7,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3154035,225.0000000000,,,,,,0.00000000,0.00000000,,,0,1,2.226621069e-05,3.935350069e-06
30913,Instalacao Transformadora com Chave,INJ01N1,,Metropolitana,Itaúbal,PORTO GRANDE,ABC,3172957,75.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.000867811426,0.0001852318946
C18469,Instalacao Transformadora com  Chave,TTG01Y1,,Tartarugalzinho,Tartarugal,TARTARUGALZINHO,A,3149454,5.0000000000,,,,,,0.00000000,0.00000000,,,0,1,3.035134943e-05,7.893718968e-06
SI006,Instalacao Transformadora com  Chave,OIP01Y2,,,,OIAPOQUE,AC,3184349,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
T5596424,Estacao Transformadora com Chave,MCD01C2,,Metropolitana,Macapá,MACAPA - II,ABC,3161970,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
04790748,Instalacao Transformadora (Companhia),JAR01F1,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,C,3156929,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
3318,Instalacao Transformadora com Chave,EQT01C3,AMAPÁ,Metropolitana,Macapá,EQUATORIAL,ABC,3173314,112.5000000000,,,,,,0.00000000,0.00000000,,,0,1,0.0007288333922,0.000285593022
00940669,Instalacao Transformadora com Chave,MCD01W4,,Metropolitana,Macapá,MACAPA - II,C,3163569,5.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
83003694,Instalacao Transformadora com  Chave,CPX01C3,AMAPÁ,Porto Grande,Porto Grande,SERRA DO NAVIO,A,3147772,10.0000000000,,,,,,0.00000000,0.00000000,,,0,1,1.024168309e-05,3.96656975e-06
04700055,Instalacao Transformadora com Chave,JAR01F3,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,ABC,3153713,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
00300712,Instalacao Transformadora com Chave,FTC01F4,,Metropolitana,Santana,,ABC,3152606,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
100185375- X,Instalacao Transformadora com Chave,STR01P3,,Metropolitana,Macapá,SANTA RITA,ABC,3159796,75.0000000000,,,,,,0.00000000,0.00000000,,,0,1,0.0001841429004,3.148280055e-05
00103365,Instalacao Transformadora com Chave,SJO01S5,,Metropolitana,Macapá,SANTA RITA,ABC,3161520,112.5000000000,,,,,,0.00000000,0.00000000,,,0,,,
04700034,Instalacao Transformadora com Chave,JAR01F4,AMAPÁ,Metropolitana,Macapá,LARANJAL DO JARI,ABC,3153771,75.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
00390282,Estacao Transformadora com Chave,FTC01F3,,Metropolitana,Santana,,ABC,3183164,45.0000000000,,,,,,0.00000000,0.00000000,,,0,,,
