UF,ANO,ABRANGENCIA,DEC,FEC,INT,DEC_VEG,DEC_NID,DEC_DEG,FEC_DEG,FEC_VEG,FEC_NID,INT_VEG,INT_NID,INT_DEG
RS,2024,AL,8.052504568,2.039115477,862,5.880175385,0.3847117843,1.787617399,0.8475777257,0.9470789323,0.2444588191,409,118,335
RS,2025,AL,4.03358245,1.68327661,718,0.9620190209,0.5387739946,2.532789435,0.9999690591,0.3496757615,0.3336317898,165,172,381
RS,2025,TF,5.97987222,0.9411554932,26469,1.532486185,1.073614384,3.37377165,0.5652809243,0.1935654886,0.1823090803,6461,5483,14525
RS,2024,TF,9.01662333,1.009713288,27555,5.214163797,0.5358208301,3.266638703,0.484228068,0.4401544718,0.08533074767,12188,2271,13096
RS,2024,CH,25.456846971,4.052683425,13609,17.150159003,1.814963689,6.49172428,1.554731527,2.03288203,0.4650698682,6866,1539,5204
RS,2025,CH,14.21787641,3.197587654,12882,4.246064293,3.202363705,6.769448412,1.538784459,0.8041970052,0.8546061894,3989,3829,5064
