INSTALACAO_ID,COMPONENTE,DESCRICAO,ALIM,REGIONAL,SECCIONAL,BASE,CONJUNTO,FASE,CHAVE_PAI_ID,KVAN,KVAT_D,KVAT_N,TAP,TP_CONDUTOR,KM_TOTAL,MULT,NU,PERC_MULT,PERC_NU,CLIT,SOBRECARGA,INT12M,DEC12M,FEC12M
1017982.0000000000,05082,Instalacao Transformadora com Chave,CZAY1,METROPOLITANA,MACEIO II,PINHEIRO,CRUZ DAS ALMAS,ABC,1018073.0000000000,150.0000000000,,,,0X#(4) AWG CA,8.53482000,6.78695000,1.72721000,79.52,20.24,242,1.613333,1,0.0001700635098,0.0001589378597
1059916.0000000000,15800,Instalacao Transformadora com Chave,DMGY5,COD DELMIRO GOLVEIA,DELMIRO GOUVEIA,OLHO DÁGUA DO CASADO,DELMIRO GOUVEIA,ABC,1059914.0000000000,112.5000000000,,,,0X#(4) AWG CA,16.19433000,3.05515000,12.18322000,18.87,75.23,435,3.866667,1,0.001091086672,0.00027
1197047.0000000000,83857,Instalacao Transformadora com Chave,INPY3,COD DELMIRO GOLVEIA,DELMIRO GOUVEIA,INHAPI,INHAPI,A,1197049.0000000000,10.0000000000,10.0000000000,10.0000000000,,1X#25(25) MULT,1.18579000,1.18579000,0.00000000,100.00,0.00,22,2.200000,,,
1235449.0000000000,1015273,Instalacao Transformadora com Chave,CZAY9,METROPOLITANA,MACEIO II,PINHEIRO,CRUZ DAS ALMAS,ABC,1020377.0000000000,45.0000000000,,,,3X#35(35) MULT,0.73100000,0.73100000,0.00000000,100.00,0.00,12,0.266667,,,
1066175.0000000000,19593,Instalacao Transformadora com Chave,GIPY1,CENTRO,ARAPIRACA,GIRAU DO PONCIANO,ARAPIRACA II,BC,1066231.0000000000,10.0000000000,,,,1X#4(4) AWG CU,0.61932000,0.00000000,0.55196000,0.00,89.12,2,0.200000,,,
1048102.0000000000,20201,Instalacao Transformadora com Chave,ARDM2,SERTAO,ARAPIRACA,ARAPIRACA I,ARAPIRACA II,ABC,1048101.0000000000,112.5000000000,,,,0X#(4) AWG CA,8.87858000,1.97736000,5.18839000,22.27,58.44,246,2.186667,2,0.002183353576,0.0003315557782
1036676.0000000000,15988,Instalacao Transformadora com Chave,PCVY2,SERTAO,MATRIZ DE CAMARAGIBE,PORTO CALVO,PORTO CALVO,ABC,1036666.0000000000,75.0000000000,,,,3X#2(2) AWG CA,8.43879000,2.06100000,4.90785000,24.42,58.16,240,3.200000,,,
1092531.0000000000,31855,Instalacao Transformadora com Chave,ODFY7,CENTRO,SANTANA DO IPANEMA,OLIVENÇA,OLHO D' ÁGUA DAS FLORES,A,1092530.0000000000,15.0000000000,,,,1X#35(35) MULT,1.45350000,0.08385000,1.35245000,5.77,93.05,16,1.066667,1,0.0002590975358,1.131776245e-05
1037067.0000000000,12707,Instalacao Transformadora com Chave,PCVY4,SERTAO,MATRIZ DE CAMARAGIBE,PORTO CALVO,PORTO CALVO,ABC,1272708.0000000000,15.0000000000,15.0000000000,15.0000000000,,1X#4(4) AWG CU,2.69456000,0.00000000,2.64466000,0.00,98.15,20,1.333333,,,
1030462.0000000000,09862,Instalacao Transformadora com Chave,SLQY3,SERTAO,MATRIZ DE CAMARAGIBE,SÃO LUIZ DO QUITUNDE,SÃO LUIZ DO QUITUNDE,ABC,1030473.0000000000,75.0000000000,75.0000000000,75.0000000000,,3##2(4)4C AWG CA,6.45775000,1.64478000,3.06340000,25.47,47.44,202,2.693333,1,0.0007478161575,0.0001363881374
1263856.0000000000,1179748,Instalacao Transformadora com Chave,DMGY4,COD DELMIRO GOLVEIA,DELMIRO GOUVEIA,ÁGUA BRANCA,DELMIRO GOUVEIA,ABC,1059592.0000000000,75.0000000000,,,,0X#(4) AWG CA,4.54825000,2.78236000,0.63415000,61.17,13.94,131,1.746667,,,
1250673.0000000000,00258963,Instalacao Transformadora com Chave,ARDW1,SERTAO,ARAPIRACA,ARAPIRACA I,ARAPIRACA II,ABC,1229466.0000000000,75.0000000000,,,,0X#(54) CA,2.65670000,2.62905000,0.02765000,98.96,1.04,88,1.173333,,,
1018425.0000000000,04256,Instalacao Transformadora com Chave,CZAY1,METROPOLITANA,MACEIO II,PINHEIRO,CRUZ DAS ALMAS,ABC,1018334.0000000000,75.0000000000,,,,0X#(54) CA,2.96708000,0.91702000,0.09435000,30.91,3.18,128,1.706667,,,
