PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
ALIMENTADOR,6001113289,PAL16-163,PAL16-163,,A,CLASSE,NORTE,PORTO ALEGRE,PATRUL,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL16163,PAL16163-AL-NOV-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 16,1.186
ALIMENTADOR,6000890329,PAL1-13,PAL1-13,,B,CLASSE,NORTE,PORTO ALEGRE,TERMO T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL113,PAL113-AL-FEV-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 1,2.801
ALIMENTADOR,6000890254,PAL1-13,PAL1-13,,B,CLASSE,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL113,PAL113-AL-FEV-GT1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 1,2.801
ALIMENTADOR,6001004589,PAL1-13,PAL1-13,,B,CLASSE,NORTE,PORTO ALEGRE,TERMO T1,2025-07-01,JUL,ANO ANTERIOR,1,7,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL113,PAL113-AL-JUL-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 1,2.801
ALIMENTADOR,6001004292,PAL1-13,PAL1-13,,B,CLASSE,NORTE,PORTO ALEGRE,PATRUL,2025-07-01,JUL,ANO ANTERIOR,1,7,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL113,PAL113-AL-JUL-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 1,2.801
RAMAL,6001114566,PAL9-99,149001463,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001463,149001463-RM-NOV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 9,0.698
BAIXA TENSÃO,6001138502,PEL2-211,144000336,Instalacao Transformadora com Chave,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-12-01,DEZ,ANO ANTERIOR,1,12,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000336,144000336-BT-DEZ-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 2,1.082
BAIXA TENSÃO,6001138502,PEL2-211,144000336,Instalacao Transformadora com Chave,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-12-01,DEZ,ANO ANTERIOR,1,12,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000336,144000336-BT-DEZ-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 2,1.082
BAIXA TENSÃO,6001054650,TRA-8,216037478,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216037478,216037478-BT-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,0.731
BAIXA TENSÃO,6000896100,MOS-4,125040340,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,OSÓRIO,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,125040340,125040340-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,MOSTARDAS,0.864
RAMAL,6001004846,RIN-09,149000748,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-07-01,JUL,ANO ANTERIOR,1,7,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149000748,149000748-RM-JUL-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,1.533
BAIXA TENSÃO,6000909514,MRE-02,144006678,,C2,REGIONAL,SUL,PELOTAS,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,23 kV,2025,SIM,RIO GRANDE DO SUL,144006678,144006678-BT-MAR-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PELOTAS 3,1.082
RAMAL,6000979154,POS-4,142000078,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,23 kV,2025,SIM,RIO GRANDE DO SUL,142000078,142000078-RM-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,ARROIO GRANDE,39.416
ALIMENTADOR,6000948650,POS-4,POS-4,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-05-01,MAI,ANO ANTERIOR,1,5,23 kV,2025,SIM,RIO GRANDE DO SUL,POS4,POS4-AL-MAI-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,ARROIO GRANDE,29.461
ALIMENTADOR,6001112326,POS-4,POS-4,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,23 kV,2025,SIM,RIO GRANDE DO SUL,POS4,POS4-AL-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,ARROIO GRANDE,29.461
BAIXA TENSÃO,6001054481,SLO-2,188001292,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,23 kV,2025,SIM,RIO GRANDE DO SUL,188001292,188001292-BT-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SAO LOURENCO DO SUL,0.689
BAIXA TENSÃO,6000929503,ATS-4,103349000,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103349000,103349000-BT-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,ATLANTIDA SUL,0.738
ALIMENTADOR,6001053798,PAL6-69,PAL6-69,,C1,CLASSE,NORTE,PORTO ALEGRE,TERMO T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL669,PAL669-AL-SET-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 6,2.733
ALIMENTADOR,6001053884,PAL6-69,PAL6-69,,C1,CLASSE,NORTE,PORTO ALEGRE,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL669,PAL669-AL-SET-GT1-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 6,2.733
ALIMENTADOR,6001114263,PAL6-69,PAL6-69,,C1,CLASSE,NORTE,PORTO ALEGRE,PATRUL,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PAL669,PAL669-AL-NOV-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PORTO ALEGRE 6,2.733
BAIXA TENSÃO,6000983082,VIA 1-18,230004572,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,23 kV,2025,SIM,RIO GRANDE DO SUL,230004572,230004572-BT-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VIAMAO 1,0.746
BAIXA TENSÃO,6000896064,CPV-2,139513625,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,GUAÍBA,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,139513625,139513625-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,AREAL,0.872
