PLANO,ORDEM_INSP,SEAL,N_COMP_INSP,TIPO_COMP_INSP,CLASSE,FATOR_PRIOR,REGIONAL,SECCIONAL,TIPO_INSP,DATA_PROG,MES_PROG,BASE_REG,SUM,MES_PROG_NUM,TENSAO,BASE_REG_2,ORDEM_MAN,EMPRESA,PDF_CONS,INDEX,FATOR_PRIOR_CONSOLIDADO,SUPERINTENDENCIA,CONJUNTO,KM_TOTAL
BAIXA TENSÃO,6001081286,PEL5-512,144000278,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000278,144000278-BT-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 5,1.195
RAMAL,4180545223,RIN-11,149001126,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001126,149001126-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,0.636
RAMAL,6001094557,RIN-11,149001126,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001126,149001126-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,0.636
RAMAL,6000890448,VIA 1-14,230006963,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,SIM,RIO GRANDE DO SUL,230006963,230006963-RM-FEV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VIAMAO 1,0.925
BAIXA TENSÃO,6000896144,PAL5-512,149007378,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007378,149007378-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 5,0.83
RAMAL,6001003059,TAI-4,156001050,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-07-01,JUL,ANO ANTERIOR,1,7,23 kV,2025,SIM,RIO GRANDE DO SUL,156001050,156001050-RM-JUL-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,QUINTA,2.078
RAMAL,6000890298,PAL2-28,149005030,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-FEV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6001112923,PAL2-28,149005030,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6000890298,PAL2-28,149005030,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-FEV-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 2,0.899
RAMAL,6001112923,PAL2-28,149005030,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149005030,149005030-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 2,0.899
BAIXA TENSÃO,6000896380,VIA 1-17,230010229,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,230010229,230010229-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,VIAMAO 1,0.7
RAMAL,6001054180,VAS-3,211001186,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-09-01,SET,ANO ANTERIOR,1,9,23 kV,2025,SIM,RIO GRANDE DO SUL,211001186,211001186-RM-SET-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VASCONCELOS,0.574
BAIXA TENSÃO,6000896205,PAL15-01503,149004679,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149004679,149004679-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 15,0.83
BAIXA TENSÃO,6001088021,PEL5-58,144000156,,C2,REGIONAL,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000156,144000156-BT-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PELOTAS 5,3.264
BAIXA TENSÃO,6001088021,PEL5-58,144000156,,C2,REGIONAL,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000156,144000156-BT-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PELOTAS 5,3.264
RAMAL,6001081298,PEL4-46,144026150,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144026150,144026150-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,17.315
RAMAL,6000891332,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,TERMO T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-FEV-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6000891312,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-FEV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6001081246,TRA-4,103300320,,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,103300320,103300320-RM-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TRAMANDAI,1.335
RAMAL,6000931078,SLO-4,188002960,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,23 kV,2025,SIM,RIO GRANDE DO SUL,188002960,188002960-RM-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SAO LOURENCO DO SUL,39.049
RAMAL,6000931078,SLO-4,188002960,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,23 kV,2025,SIM,RIO GRANDE DO SUL,188002960,188002960-RM-ABR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,SAO LOURENCO DO SUL,39.049
RAMAL,6000909509,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-MAR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
BAIXA TENSÃO,6000910065,PEL1-105,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-BT-MAR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,4.801
RAMAL,6001112116,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
RAMAL,6001112273,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,TERMO T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-NOV-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
RAMAL,6000909509,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-MAR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
BAIXA TENSÃO,6000910065,PEL1-105,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-BT-MAR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,4.801
RAMAL,6001112116,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
RAMAL,6001112273,PEL3-38,144000182,,C2,HIERARQUIA,SUL,PELOTAS,TERMO T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000182,144000182-RM-NOV-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,4.801
BAIXA TENSÃO,6000897457,PAL2-21,149001873,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149001873,149001873-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 2,1.78
BAIXA TENSÃO,6000897457,PAL2-21,149001873,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149001873,149001873-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 2,1.78
BAIXA TENSÃO,6001020454,RGR1-14,156003627,,C2,CLIENTE,SUL,RIO GRANDE,GERAL T1,2025-07-01,JUL,ANO ANTERIOR,1,7,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,156003627,156003627-BT-JUL-GT1-ANO ANTERIOR,CLIENTE,EQTL-RS,RIO GRANDE 1,0.52
RAMAL,6001140523,TOR-4,215000419,Base Fusível,C2,HIERARQUIA,NORTE,OSÓRIO,GERAL T1,2025-12-01,DEZ,ANO ANTERIOR,1,12,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,215000419,215000419-RM-DEZ-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,TORRES 1,0.796
BAIXA TENSÃO,6000896323,SAO-2,176042066,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,OSÓRIO,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,23 kV,2025,NÃO,RIO GRANDE DO SUL,176042066,176042066-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,SANTO ANTONIO,0.609
BAIXA TENSÃO,6000896044,ATS-3,103349361,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,OSÓRIO,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,103349361,103349361-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,ATLANTIDA SUL,0.592
BAIXA TENSÃO,6001034086,ACL-04,230013769,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,230013769,230013769-BT-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VIAMAO 1,1.021
BAIXA TENSÃO,6000897507,PAL20-2002,149007804,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007804,149007804-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 20,1.414
BAIXA TENSÃO,6000897507,PAL20-2002,149007804,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007804,149007804-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 20,1.414
BAIXA TENSÃO,6000896134,PAL3-31,149004142,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149004142,149004142-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 3,0.83
BAIXA TENSÃO,6000896134,PAL3-31,149004142,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149004142,149004142-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 3,0.83
ALIMENTADOR,6001036772,CAM-17,CAM-17,COMPLEMENTO,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,CAM17,CAM17-AL-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,CAMAQUA,30.088
ALIMENTADOR,6001036775,CAM-17,CAM-17,COMPLEMENTO,C2,HIERARQUIA,SUL,CAMAQUÃ,TERMO T1,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,CAM17,CAM17-AL-AGO-TG1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,CAMAQUA,30.088
RAMAL,6000911108,VAS-5,211000681,,C2,HIERARQUIA,SUL,CAMAQUÃ,GERAL T1,2025-03-01,MAR,ANO ANTERIOR,1,3,23 kV,2025,SIM,RIO GRANDE DO SUL,211000681,211000681-RM-MAR-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,VASCONCELOS,3.744
BAIXA TENSÃO,6000896465,PEL2-211,144028841,,SC,REINCIDÊNCIAS PLANTÃO,SUL,PELOTAS,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,144028841,144028841-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PELOTAS 2,3.264
BAIXA TENSÃO,6000896465,PEL2-211,144028841,,SC,REINCIDÊNCIAS PLANTÃO,SUL,PELOTAS,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,144028841,144028841-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PELOTAS 2,3.264
ALIMENTADOR,6000931971,SVP-3,SVP-3,,A,CLASSE,SUL,RIO GRANDE,TERMO T1,2025-04-01,ABR,ANO ANTERIOR,1,4,23 kV,2025,SIM,RIO GRANDE DO SUL,SVP3,SVP3-AL-ABR-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,SANTA VITORIA DO PALMAR,4.717
ALIMENTADOR,6000931977,SVP-3,SVP-3,,A,CLASSE,SUL,RIO GRANDE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,23 kV,2025,SIM,RIO GRANDE DO SUL,SVP3,SVP3-AL-ABR-GT1-ANO ANTERIOR,CLASSE,EQTL-RS,SANTA VITORIA DO PALMAR,4.717
ALIMENTADOR,6001031204,SVP-3,SVP-3,,A,CLASSE,SUL,RIO GRANDE,PATRUL,2025-08-01,AGO,ANO ANTERIOR,1,8,23 kV,2025,SIM,RIO GRANDE DO SUL,SVP3,SVP3-AL-AGO-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,SANTA VITORIA DO PALMAR,4.717
ALIMENTADOR,6001113807,SVP-3,SVP-3,,A,CLASSE,SUL,RIO GRANDE,PATRUL,2025-11-01,NOV,ANO ANTERIOR,1,11,23 kV,2025,SIM,RIO GRANDE DO SUL,SVP3,SVP3-AL-NOV-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,SANTA VITORIA DO PALMAR,4.717
RAMAL,6000946720,PAL5-57,149003056,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149003056,149003056-RM-ABR-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 5,1.594
RAMAL,6000946700,PAL5-57,149003056,,C2,REGIONAL,NORTE,PORTO ALEGRE,TERMO T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149003056,149003056-RM-ABR-TG1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 5,1.594
RAMAL,6000946720,PAL5-57,149003056,,C2,REGIONAL,NORTE,PORTO ALEGRE,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149003056,149003056-RM-ABR-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 5,1.594
RAMAL,6000946700,PAL5-57,149003056,,C2,REGIONAL,NORTE,PORTO ALEGRE,TERMO T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149003056,149003056-RM-ABR-TG1-ANO ANTERIOR,REGIONAL,EQTL-RS,PORTO ALEGRE 5,1.594
BAIXA TENSÃO,6000897497,PAL15-01501,149007290,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007290,149007290-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 15,1.414
BAIXA TENSÃO,6000897497,PAL15-01501,149007290,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149007290,149007290-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 15,1.414
BAIXA TENSÃO,6000897506,PAL20-2002,149000977,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149000977,149000977-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 20,0.83
BAIXA TENSÃO,6000897506,PAL20-2002,149000977,,SC,REINCIDÊNCIAS PLANTÃO,NORTE,PORTO ALEGRE,PATRUL,2025-02-01,FEV,ANO ANTERIOR,1,2,"13,8 kV",2025,NÃO,RIO GRANDE DO SUL,149000977,149000977-BT-FEV-PTL-ANO ANTERIOR,REINCIDÊNCIAS PLANTÃO,EQTL-RS,PORTO ALEGRE 20,0.83
RAMAL,6000944945,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-ABR-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
RAMAL,6000944919,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,TERMO T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-ABR-TG1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
RAMAL,6001081515,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
RAMAL,6000944945,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-ABR-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
RAMAL,6000944919,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,TERMO T1,2025-04-01,ABR,ANO ANTERIOR,1,4,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-ABR-TG1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
RAMAL,6001081515,TRA-2,216091131,,C2,REGIONAL,NORTE,OSÓRIO,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,216091131,216091131-RM-OUT-GT1-ANO ANTERIOR,REGIONAL,EQTL-RS,TRAMANDAI,2.482
ALIMENTADOR,6000948336,PEL2-28,PEL2-28,,C1,CLASSE,SUL,PELOTAS,TERMO T1,2025-05-01,MAI,ANO ANTERIOR,1,5,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PEL228,PEL228-AL-MAI-TG1-ANO ANTERIOR,CLASSE,EQTL-RS,PELOTAS 2,4.837
ALIMENTADOR,6000948363,PEL2-28,PEL2-28,,C1,CLASSE,SUL,PELOTAS,GERAL T1,2025-05-01,MAI,ANO ANTERIOR,1,5,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PEL228,PEL228-AL-MAI-GT1-ANO ANTERIOR,CLASSE,EQTL-RS,PELOTAS 2,4.837
ALIMENTADOR,6001112178,PEL2-28,PEL2-28,,C1,CLASSE,SUL,PELOTAS,PATRUL,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,PEL228,PEL228-AL-NOV-PTL-ANO ANTERIOR,CLASSE,EQTL-RS,PELOTAS 2,4.837
RAMAL,6000981425,RIN-11,149001125,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149001125,149001125-RM-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,1.107
RAMAL,6001142477,PAL6-610,149000682,Base Fusível,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-12-01,DEZ,ANO ANTERIOR,1,12,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,149000682,149000682-RM-DEZ-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PORTO ALEGRE 6,1.094
RAMAL,6001003065,CSN-2,156000384,,C2,HIERARQUIA,SUL,RIO GRANDE,GERAL T1,2025-07-01,JUL,ANO ANTERIOR,1,7,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,156000384,156000384-RM-JUL-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,CASSINO,2.078
BAIXA TENSÃO,6001081413,MRE-04,124505540,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,23 kV,2025,SIM,RIO GRANDE DO SUL,124505540,124505540-BT-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,0.806
ALIMENTADOR,6000980777,RIN-11,RIN-11,,C2,HIERARQUIA,NORTE,PORTO ALEGRE,GERAL T1,2025-06-01,JUN,ANO ANTERIOR,1,6,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,RIN11,RIN11-AL-JUN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,RINCAO,4.629
BAIXA TENSÃO,6001112132,PEL1-103,144000804,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000804,144000804-BT-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,1.082
BAIXA TENSÃO,6001112132,PEL1-103,144000804,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-11-01,NOV,ANO ANTERIOR,1,11,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000804,144000804-BT-NOV-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,1.082
BAIXA TENSÃO,6000878851,PEL3-36,144004370,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-01-01,JAN,ANO ANTERIOR,1,1,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144004370,144004370-BT-JAN-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,1.168
BAIXA TENSÃO,6001081260,PEL3-36,144004370,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-10-01,OUT,ANO ANTERIOR,1,10,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144004370,144004370-BT-OUT-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 3,1.168
BAIXA TENSÃO,6001032908,PEL1-106,144000487,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000487,144000487-BT-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,2.222
BAIXA TENSÃO,6001032908,PEL1-106,144000487,,C2,HIERARQUIA,SUL,PELOTAS,GERAL T1,2025-08-01,AGO,ANO ANTERIOR,1,8,"13,8 kV",2025,SIM,RIO GRANDE DO SUL,144000487,144000487-BT-AGO-GT1-ANO ANTERIOR,HIERARQUIA,EQTL-RS,PELOTAS 1,2.222
